model	benchmark	context_tokens	context_label	task_id	repository	control_resolved	treatment_resolved	control_f2p_passed	control_f2p_total	control_f2p_fraction	treatment_f2p_passed	treatment_f2p_total	treatment_f2p_fraction	f2p_difference
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	066	django/django	0	0	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	068	django/django	0	0	0	0	0	0	2	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	083	django/django	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	086	django/django	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	089	django/django	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	092	django/django	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	096	django/django	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	100	django/django	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	104	django/django	0	0	3	5	0.6	3	5	0.6	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	105	django/django	0	1	0	0	0	9	9	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	107	django/django	0	0	0	1	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	110	django/django	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	113	django/django	1	0	3	3	1	0	0	0	-1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	116	django/django	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	121	django/django	1	0	1	1	1	0	0	0	-1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	123	django/django	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	131	django/django	0	0	0	0	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	140	django/django	1	0	2	2	1	1	2	0.5	-0.5
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	141	django/django	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	144	django/django	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	149	django/django	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	152	django/django	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	161	django/django	1	1	3	3	1	3	3	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	164	django/django	0	0	0	2	0	2	2	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	166	django/django	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	171	django/django	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	175	django/django	1	1	3	3	1	3	3	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	176	django/django	0	0	0	0	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	177	django/django	0	1	0	2	0	2	2	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	181	django/django	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	182	django/django	0	1	0	0	0	3	3	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	183	django/django	0	0	0	0	0	0	2	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	184	django/django	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	194	django/django	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	196	django/django	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	197	django/django	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	199	django/django	0	0	0	0	0	0	2	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	202	django/django	0	0	0	0	0	1	2	0.5	0.5
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	203	django/django	0	0	0	1	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	205	django/django	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	212	django/django	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	213	django/django	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	215	django/django	1	1	2	2	1	2	2	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	223	django/django	0	0	6	9	0.666666666667	6	9	0.666666666667	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	233	django/django	0	0	3	8	0.375	1	8	0.125	-0.25
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	235	django/django	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	237	django/django	0	0	0	1	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	239	django/django	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	242	django/django	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	243	django/django	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	244	django/django	0	1	2	4	0.5	4	4	1	0.5
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	246	django/django	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	248	django/django	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	252	django/django	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	255	matplotlib/matplotlib	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	256	matplotlib/matplotlib	0	0	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	257	matplotlib/matplotlib	0	0	0	0	0	0	2	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	263	matplotlib/matplotlib	0	0	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	264	matplotlib/matplotlib	0	0	0	0	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	270	matplotlib/matplotlib	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	274	matplotlib/matplotlib	0	0	0	1	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	278	matplotlib/matplotlib	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	281	matplotlib/matplotlib	0	0	0	0	0	3	7	0.428571428571	0.428571428571
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	282	matplotlib/matplotlib	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	283	matplotlib/matplotlib	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	286	matplotlib/matplotlib	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	288	mwaskom/seaborn	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	289	mwaskom/seaborn	0	0	0	0	0	0	2	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	298	psf/requests	1	1	2	2	1	2	2	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	299	pydata/xarray	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	300	pydata/xarray	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	313	pydata/xarray	1	0	1	1	1	0	1	0	-1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	315	pydata/xarray	0	1	0	0	0	3	3	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	316	pydata/xarray	0	0	0	0	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	318	pydata/xarray	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	321	pylint-dev/pylint	0	0	0	0	0	0	10	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	323	pylint-dev/pylint	0	0	0	1	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	324	pylint-dev/pylint	0	0	0	0	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	325	pylint-dev/pylint	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	328	pylint-dev/pylint	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	330	pylint-dev/pylint	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	333	pytest-dev/pytest	0	0	0	0	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	336	pytest-dev/pytest	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	339	pytest-dev/pytest	0	0	0	2	0	2	2	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	342	pytest-dev/pytest	0	0	0	1	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	345	pytest-dev/pytest	0	0	0	0	0	2	2	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	349	pytest-dev/pytest	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	351	scikit-learn/scikit-learn	0	0	0	1	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	352	scikit-learn/scikit-learn	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	358	scikit-learn/scikit-learn	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	365	scikit-learn/scikit-learn	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	366	scikit-learn/scikit-learn	0	0	0	0	0	0	3	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	368	scikit-learn/scikit-learn	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	370	scikit-learn/scikit-learn	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	372	scikit-learn/scikit-learn	1	1	2	2	1	2	2	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	374	scikit-learn/scikit-learn	0	1	0	0	0	2	2	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	375	scikit-learn/scikit-learn	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	378	scikit-learn/scikit-learn	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	380	scikit-learn/scikit-learn	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	381	scikit-learn/scikit-learn	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	383	sphinx-doc/sphinx	0	0	0	1	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	384	sphinx-doc/sphinx	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	386	sphinx-doc/sphinx	0	0	0	0	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	391	sphinx-doc/sphinx	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	394	sphinx-doc/sphinx	0	0	0	0	0	0	2	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	395	sphinx-doc/sphinx	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	397	sphinx-doc/sphinx	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	398	sphinx-doc/sphinx	0	0	0	0	0	0	2	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	399	sphinx-doc/sphinx	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	400	sphinx-doc/sphinx	0	0	0	0	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	402	sphinx-doc/sphinx	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	404	sphinx-doc/sphinx	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	406	sphinx-doc/sphinx	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	407	sphinx-doc/sphinx	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	409	sphinx-doc/sphinx	0	0	0	0	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	410	sphinx-doc/sphinx	1	0	2	2	1	0	0	0	-1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	411	sphinx-doc/sphinx	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	414	sphinx-doc/sphinx	0	0	0	0	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	415	sphinx-doc/sphinx	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	417	sphinx-doc/sphinx	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	419	sphinx-doc/sphinx	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	420	sphinx-doc/sphinx	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	421	sphinx-doc/sphinx	0	0	0	0	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	422	sphinx-doc/sphinx	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	428	sympy/sympy	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	429	sympy/sympy	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	430	sympy/sympy	0	0	0	0	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	431	sympy/sympy	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	432	sympy/sympy	0	0	1	2	0.5	1	2	0.5	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	436	sympy/sympy	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	440	sympy/sympy	0	0	0	0	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	441	sympy/sympy	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	444	sympy/sympy	0	0	0	0	0	0	2	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	445	sympy/sympy	0	1	0	0	0	2	2	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	446	sympy/sympy	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	447	sympy/sympy	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	454	sympy/sympy	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	458	sympy/sympy	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	467	sympy/sympy	0	0	0	1	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	469	sympy/sympy	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	471	sympy/sympy	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	473	sympy/sympy	0	1	0	0	0	2	2	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	477	sympy/sympy	0	0	0	0	0	0	2	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	482	sympy/sympy	0	0	0	1	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	485	sympy/sympy	0	0	0	0	0	0	6	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	486	sympy/sympy	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	20480	severe pressure	488	sympy/sympy	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	004	astropy/astropy	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	006	astropy/astropy	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	007	astropy/astropy	0	0	20	20	1	20	20	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	008	astropy/astropy	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	009	astropy/astropy	0	0	0	1	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	013	astropy/astropy	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	021	astropy/astropy	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	023	django/django	0	0	438	438	1	438	438	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	024	django/django	0	0	0	0	0	0	2	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	030	django/django	0	0	0	1	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	031	django/django	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	035	django/django	0	0	0	1	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	037	django/django	0	0	2	2	1	0	2	0	-1
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	040	django/django	1	0	2	2	1	0	2	0	-1
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	041	django/django	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	043	django/django	0	0	0	0	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	048	django/django	0	0	4	6	0.666666666667	4	6	0.666666666667	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	049	django/django	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	054	django/django	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	055	django/django	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	059	django/django	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	062	django/django	1	1	2	2	1	2	2	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	066	django/django	0	0	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	068	django/django	0	0	0	2	0	0	2	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	083	django/django	0	0	0	0	0	1	3	0.333333333333	0.333333333333
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	086	django/django	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	089	django/django	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	092	django/django	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	096	django/django	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	100	django/django	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	104	django/django	0	0	3	5	0.6	3	5	0.6	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	105	django/django	1	1	9	9	1	9	9	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	107	django/django	1	0	1	1	1	0	1	0	-1
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	110	django/django	0	0	0	0	0	0	2	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	113	django/django	1	1	3	3	1	3	3	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	116	django/django	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	121	django/django	0	0	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	123	django/django	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	131	django/django	0	1	0	0	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	140	django/django	1	0	2	2	1	1	2	0.5	-0.5
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	141	django/django	0	0	0	1	0	0	1	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	144	django/django	1	0	1	1	1	0	1	0	-1
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	149	django/django	1	1	1	1	1	1	1	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	152	django/django	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	161	django/django	1	1	3	3	1	3	3	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	164	django/django	1	1	2	2	1	2	2	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	166	django/django	0	0	0	0	0	0	0	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	171	django/django	0	0	0	0	0	0	2	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	175	django/django	0	0	0	3	0	0	3	0	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	176	django/django	1	0	1	1	1	0	1	0	-1
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	177	django/django	0	1	0	2	0	2	2	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	181	django/django	0	1	0	1	0	1	1	1	1
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	182	django/django	1	1	3	3	1	3	3	1	0
Qwen3.6-35B-A3B	SWE-bench Verified	43008	mild pressure	183	django/django	0	0	0	2	0	0	2	0	0
